freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.242e+02,1.047e+01,2.155e+01,3.562e+02
1.6,2.560e+02,2.605e+01,5.688e+01,3.390e+02
3.1,1.119e+02,2.629e+01,6.581e+01,2.040e+02
4.7,4.074e+02,2.643e+01,6.197e+01,4.958e+02
6.2,1.232e+03,2.835e+01,6.195e+01,1.322e+03
7.8,1.987e+03,2.858e+01,6.065e+01,2.076e+03
9.4,2.830e+03,2.879e+01,6.234e+01,2.921e+03
10.9,3.734e+03,2.852e+01,6.119e+01,3.823e+03
12.5,5.096e+03,2.830e+01,5.868e+01,5.183e+03
14.0,7.174e+03,3.042e+01,5.647e+01,7.261e+03
15.6,7.468e+03,4.047e+01,6.298e+01,7.572e+03
17.1,5.464e+03,6.009e+01,6.212e+01,5.586e+03
18.7,6.702e+03,4.590e+01,6.089e+01,6.809e+03
20.3,8.271e+03,3.699e+01,6.072e+01,8.368e+03
21.8,9.519e+03,4.044e+01,6.388e+01,9.623e+03
23.4,1.100e+04,4.810e+01,7.027e+01,1.112e+04
24.9,1.216e+04,5.710e+01,6.521e+01,1.228e+04
26.5,1.294e+04,6.444e+01,5.911e+01,1.307e+04
28.1,1.438e+04,7.322e+01,5.650e+01,1.451e+04
29.6,1.567e+04,7.489e+01,7.104e+01,1.582e+04
31.2,1.774e+04,9.607e+01,8.273e+01,1.792e+04
32.7,1.930e+04,1.451e+02,8.795e+01,1.953e+04
34.3,2.018e+04,2.107e+02,9.547e+01,2.049e+04
35.8,2.284e+04,2.205e+02,8.880e+01,2.315e+04
37.4,2.615e+04,1.779e+02,8.383e+01,2.641e+04
39.0,2.889e+04,1.394e+02,8.579e+01,2.912e+04
40.5,3.048e+04,1.486e+02,9.225e+01,3.072e+04
42.1,3.113e+04,1.911e+02,9.127e+01,3.141e+04
43.6,3.278e+04,2.378e+02,8.391e+01,3.310e+04
45.2,3.535e+04,2.626e+02,1.009e+02,3.572e+04
46.8,3.829e+04,3.650e+02,1.648e+02,3.882e+04
48.3,4.180e+04,6.806e+02,2.401e+02,4.273e+04
49.9,4.657e+04,1.238e+03,3.074e+02,4.812e+04
51.4,5.058e+04,1.597e+03,3.429e+02,5.252e+04
53.0,4.993e+04,1.694e+03,3.365e+02,5.196e+04
54.5,4.863e+04,2.671e+03,3.647e+02,5.167e+04
56.1,4.708e+04,4.941e+03,3.904e+02,5.241e+04
57.7,4.806e+04,4.455e+03,3.503e+02,5.287e+04
59.2,5.014e+04,2.111e+03,4.169e+02,5.267e+04
60.8,5.284e+04,1.808e+03,6.464e+02,5.529e+04
62.3,6.315e+04,3.144e+03,1.033e+03,6.733e+04
63.9,7.607e+04,4.273e+03,1.473e+03,8.182e+04
65.5,8.105e+04,3.737e+03,1.423e+03,8.620e+04
67.0,7.438e+04,5.434e+03,1.501e+03,8.131e+04
68.6,6.888e+04,9.710e+03,1.833e+03,8.043e+04
70.1,6.625e+04,1.468e+04,2.306e+03,8.324e+04
71.7,6.711e+04,1.935e+04,2.804e+03,8.926e+04
73.2,7.117e+04,2.363e+04,3.843e+03,9.865e+04
74.8,7.104e+04,2.487e+04,6.189e+03,1.021e+05
76.4,7.215e+04,2.039e+04,6.956e+03,9.950e+04
77.9,7.590e+04,1.811e+04,8.108e+03,1.021e+05
79.5,8.227e+04,1.886e+04,9.803e+03,1.109e+05
81.0,9.069e+04,2.047e+04,1.047e+04,1.216e+05
82.6,1.029e+05,1.924e+04,9.135e+03,1.312e+05
84.2,1.191e+05,2.328e+04,9.911e+03,1.523e+05
85.7,1.393e+05,2.303e+04,7.901e+03,1.703e+05
87.3,1.628e+05,1.582e+04,4.241e+03,1.829e+05
88.8,1.884e+05,1.036e+04,4.356e+03,2.031e+05
90.4,2.187e+05,1.096e+04,6.230e+03,2.359e+05
