freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.634e+01,4.038e+02,9.161e+01,5.117e+02
1.6,5.372e+01,2.537e+02,9.587e+01,4.033e+02
3.1,5.745e+01,4.443e+01,6.475e+01,1.666e+02
4.7,5.597e+01,4.059e+02,6.026e+01,5.221e+02
6.2,4.958e+01,1.360e+03,5.879e+01,1.468e+03
7.8,5.166e+01,2.213e+03,6.013e+01,2.325e+03
9.3,5.494e+01,3.303e+03,6.143e+01,3.419e+03
10.9,5.513e+01,4.671e+03,6.310e+01,4.789e+03
12.5,5.562e+01,6.469e+03,6.369e+01,6.588e+03
14.0,5.379e+01,9.511e+03,7.661e+01,9.641e+03
15.6,5.732e+01,1.466e+04,8.766e+01,1.480e+04
17.1,6.366e+01,1.222e+04,8.708e+01,1.237e+04
18.7,6.164e+01,6.623e+03,7.054e+01,6.755e+03
20.3,5.863e+01,8.588e+03,7.453e+01,8.721e+03
21.8,6.233e+01,1.205e+04,8.448e+01,1.220e+04
23.4,7.514e+01,1.587e+04,1.048e+02,1.605e+04
24.9,1.158e+02,1.961e+04,1.161e+02,1.984e+04
26.5,1.118e+02,2.317e+04,1.362e+02,2.342e+04
28.0,7.368e+01,2.702e+04,1.497e+02,2.725e+04
29.6,7.103e+01,3.211e+04,1.881e+02,3.237e+04
31.2,8.826e+01,3.867e+04,2.508e+02,3.900e+04
32.7,1.132e+02,4.320e+04,3.301e+02,4.365e+04
34.3,8.632e+01,4.740e+04,3.885e+02,4.788e+04
35.8,7.906e+01,5.465e+04,4.761e+02,5.520e+04
37.4,1.053e+02,6.505e+04,6.573e+02,6.581e+04
39.0,1.193e+02,7.776e+04,9.031e+02,7.878e+04
40.5,1.336e+02,8.829e+04,1.072e+03,8.950e+04
42.1,1.583e+02,9.209e+04,1.394e+03,9.365e+04
43.6,2.151e+02,1.136e+05,2.294e+03,1.161e+05
45.2,3.302e+02,1.529e+05,3.961e+03,1.572e+05
46.7,5.187e+02,2.033e+05,6.917e+03,2.107e+05
48.3,5.848e+02,2.722e+05,1.162e+04,2.844e+05
49.9,6.209e+02,3.692e+05,1.662e+04,3.864e+05
51.4,7.511e+02,4.843e+05,1.811e+04,5.032e+05
53.0,1.201e+03,5.679e+05,1.805e+04,5.871e+05
54.5,2.848e+03,6.548e+05,2.316e+04,6.809e+05
56.1,7.451e+03,6.257e+05,2.740e+04,6.606e+05
57.7,9.329e+03,3.384e+05,1.859e+04,3.663e+05
59.2,5.730e+03,1.418e+05,1.164e+04,1.591e+05
60.8,3.907e+03,1.058e+05,1.461e+04,1.243e+05
62.3,6.107e+03,1.288e+05,2.190e+04,1.568e+05
63.9,1.449e+04,2.063e+05,3.567e+04,2.564e+05
65.4,2.424e+04,2.873e+05,4.950e+04,3.610e+05
67.0,2.282e+04,3.543e+05,6.363e+04,4.407e+05
68.6,1.704e+04,5.555e+05,1.024e+05,6.749e+05
70.1,1.219e+04,9.480e+05,1.780e+05,1.138e+06
71.7,6.285e+03,1.316e+06,2.608e+05,1.583e+06
73.2,1.958e+03,1.245e+06,2.736e+05,1.520e+06
74.8,9.349e+02,8.315e+05,2.169e+05,1.049e+06
76.4,6.555e+02,6.464e+05,2.142e+05,8.612e+05
77.9,6.714e+02,4.914e+05,2.032e+05,6.953e+05
79.5,9.703e+02,3.599e+05,1.803e+05,5.412e+05
81.0,1.650e+03,3.177e+05,1.875e+05,5.068e+05
82.6,2.200e+03,3.020e+05,2.006e+05,5.048e+05
84.1,1.983e+03,2.305e+05,1.528e+05,3.853e+05
85.7,1.397e+03,1.600e+05,9.277e+04,2.542e+05
87.3,8.175e+02,1.262e+05,6.422e+04,1.913e+05
88.8,6.684e+02,1.480e+05,7.572e+04,2.244e+05
90.4,7.673e+02,2.735e+05,1.395e+05,4.138e+05
91.9,1.102e+03,5.129e+05,2.541e+05,7.681e+05
93.5,1.089e+03,6.425e+05,3.234e+05,9.669e+05
95.1,7.178e+02,6.398e+05,3.429e+05,9.834e+05
96.6,7.916e+02,5.971e+05,3.432e+05,9.411e+05
98.2,1.262e+03,5.564e+05,3.214e+05,8.790e+05
99.7,1.755e+03,5.175e+05,2.924e+05,8.117e+05
101.3,2.028e+03,4.952e+05,2.672e+05,7.644e+05
102.8,2.547e+03,4.832e+05,2.412e+05,7.269e+05
104.4,3.108e+03,4.593e+05,2.111e+05,6.734e+05
106.0,3.868e+03,4.313e+05,1.764e+05,6.116e+05
107.5,4.262e+03,3.969e+05,1.417e+05,5.428e+05
109.1,5.410e+03,3.705e+05,1.260e+05,5.019e+05
110.6,8.793e+03,3.380e+05,9.960e+04,4.464e+05
112.2,1.165e+04,3.168e+05,6.545e+04,3.939e+05
113.7,1.157e+04,3.253e+05,4.603e+04,3.829e+05
115.3,1.298e+04,3.097e+05,3.902e+04,3.617e+05
116.9,1.621e+04,2.624e+05,3.706e+04,3.157e+05
118.4,1.791e+04,2.117e+05,3.542e+04,2.651e+05
120.0,1.662e+04,1.693e+05,2.579e+04,2.117e+05
121.5,9.804e+03,1.147e+05,1.421e+04,1.387e+05
123.1,7.941e+03,8.931e+04,1.049e+04,1.077e+05
124.7,9.238e+03,7.989e+04,1.119e+04,1.003e+05
126.2,1.156e+04,7.444e+04,1.234e+04,9.833e+04
127.8,1.607e+04,6.884e+04,1.214e+04,9.706e+04
129.3,2.334e+04,6.245e+04,1.136e+04,9.714e+04
130.9,3.115e+04,5.583e+04,1.028e+04,9.725e+04
132.4,2.960e+04,4.077e+04,7.502e+03,7.788e+04
134.0,1.027e+04,1.337e+04,2.654e+03,2.630e+04
135.6,4.692e+03,6.048e+03,1.336e+03,1.208e+04
137.1,5.810e+03,5.731e+03,1.194e+03,1.273e+04
138.7,7.491e+03,5.338e+03,1.062e+03,1.389e+04
140.2,9.419e+03,5.046e+03,9.745e+02,1.544e+04
141.8,1.091e+04,4.614e+03,8.875e+02,1.641e+04
143.4,1.052e+04,4.642e+03,1.021e+03,1.619e+04
144.9,9.306e+03,4.956e+03,1.591e+03,1.585e+04
146.5,7.532e+03,5.379e+03,2.672e+03,1.558e+04
148.0,7.165e+03,5.823e+03,4.103e+03,1.709e+04
149.6,7.650e+03,6.398e+03,6.075e+03,2.012e+04
151.1,6.338e+03,7.034e+03,7.930e+03,2.130e+04
152.7,4.688e+03,7.405e+03,9.077e+03,2.117e+04
154.3,3.403e+03,7.651e+03,9.500e+03,2.055e+04
155.8,2.694e+03,8.294e+03,9.658e+03,2.065e+04
